,src,Unnamed: 0,path,query,alt
3,https://as1.ftcdn.net/v2/jpg/00/59/81/44/1000_F_59814444_1dx1LsKU9J77a2oa7PedSbAWQX7kzdXr.jpg,[266],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos/man giving thumbs up/mangivingthumbsup4.jpeg,['man giving thumbs up'],"['Excited, smiling, successful young man giving thumbs up Stock Photo']"
4,https://as1.ftcdn.net/v2/jpg/00/63/63/40/1000_F_63634036_Rq3zEzUmenky3vPw8rdKI0DGL9W9wf2D.jpg,[234],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos/man giving thumbs down/mangivingthumbsdown0.jpeg,['man giving thumbs down'],"['Old, unhappy, displeased man giving thumbs down Stock Photo']"
5,https://as1.ftcdn.net/v2/jpg/00/81/77/68/1000_F_81776889_RZY3qxJl0raEmdOHMEiAoAyct17tZEFr.jpg,[732],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos/photo of man holding fist/photoofmanholdingfist9.jpeg,['photo of man holding fist'],['old man with a beard raised his fist up Stock Photo']
8,https://as1.ftcdn.net/v2/jpg/01/22/34/78/1000_F_122347864_bQm8LN8EIKvT4G7CKrARoMaISkZfd265.jpg,[589],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos/woman giving horn sign/womangivinghornsign2.jpeg,['woman giving horn sign'],"[""Woman's hand giving the Rock and Roll sign, devil horns gesture Stock Photo ""]"
10,https://as1.ftcdn.net/v2/jpg/01/69/27/86/1000_F_169278633_AEvCEFqu1NvyCCBkODVukxrtR3o8bcTb.jpg,[617],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos/woman with hand heart/womanwithhandheart4.jpeg,['woman with hand heart'],['woman present heart hand sign with close up happy face pose Stock Photo']
11,https://as1.ftcdn.net/v2/jpg/01/72/76/70/1000_F_172767031_UMZw1VlM8I5cNCK1ESXcJpw3iYjPOoxi.jpg,[461],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos/woman showing hands/womanshowinghands9.jpeg,['woman showing hands'],['Happy woman showing or offering something with her hands Stock Photo']
12,https://as1.ftcdn.net/v2/jpg/01/75/85/34/1000_F_175853414_d6DfyK47edIV6jMTMt4sN2aykfLyc615.jpg,[252],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos/man holding palms out/manholdingpalmsout2.jpeg,['man holding palms out'],['Unrecognizable black man holding palm open or stretches out hand Stock  Photo']
13,https://as1.ftcdn.net/v2/jpg/01/99/96/78/1000_F_199967884_QezzzXNkGxtBw0YhTTYjKqM4vNpVV6sl.jpg,[442],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos/woman showing hand/womanshowinghand4.jpeg,['woman showing hand'],['Young woman showing stop gesture open palm hand Stock Photo']
14,https://as1.ftcdn.net/v2/jpg/02/02/01/10/1000_F_202011073_4w0Tn4tMjR9dDjoe0jYbNG4sHTugHZHC.jpg,[547],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos/woman showing four fingers/womanshowingfourfingers4.jpeg,['woman showing four fingers'],['happy girl pointing up number 4 fingers; portrait of joyful happy smiling  asian woman pointing hand']
16,https://as1.ftcdn.net/v2/jpg/02/23/87/22/1000_F_223872218_9ziWU4upPLTAjvL8l81o9W1c9nwz16T0.jpg,[727],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/photos/photo of man holding fist/photoofmanholdingfist4.jpeg,['photo of man holding fist'],"['Confident sporty boxing man holding fists in front of him, going to fight  and defend himself, ready for fighting Stock Photo']"
