src,Unnamed: 0,path,query,alt
https://freerangestock.com/sample/109731/heart-sign.jpg,[1073],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/photo of man with hand heart/photoofmanwithhandheart9.jpeg,['photo of man with hand heart'],['Free Stock Photo of Heart Sign | Download Free Images and Free Illustrations']
https://freerangestock.com/sample/115478/heart-shape-created-by-couple-s-hands.jpg,[1070],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/photo of man with hand heart/photoofmanwithhandheart6.jpeg,['photo of man with hand heart'],['Free Stock Photo of Heart shape created by couple s hands | Download Free  Images and Free Illustrations']
https://freerangestock.com/sample/117762/a-young-woman-s-hand-drawing-a-heart-in-the-sand.jpg,[1619],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/drawing of woman with hand heart/drawingofwomanwithhandheart2.jpeg,['drawing of woman with hand heart'],['Free Stock Photo of A young woman s hand drawing a heart in the sand |  Download Free Images and Free Illustrations']
https://freerangestock.com/sample/117763/a-woman-s-hands-making-a-heart-shape-against-bright-sunset.jpg,[71],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/hand heart/handheart5.jpeg,['hand heart'],['Free Stock Photo of A woman s hands making a heart shape against bright  sunset | Download Free Images and Free Illustrations']
https://freerangestock.com/sample/118534/lighter-in-a-woman-s-hand-icon-vector.jpg,[1494],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/drawing of woman showing hand/drawingofwomanshowinghand4.jpeg,['drawing of woman showing hand'],['Free Stock Photo of Lighter in a woman s hand icon vector | Download Free  Images and Free Illustrations']
https://freerangestock.com/sample/120302/handshake-between-two-businesspeople-black-and-white.jpg,[54],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/handshake/handshake6.jpeg,['handshake'],"['Free Stock Photo of Handshake between two businesspeople, black and white |  Download Free Images and Free Illustrations']"
https://freerangestock.com/sample/120360/woman-shaking-hands.jpg,[761],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/woman giving handshake/womangivinghandshake7.jpeg,['woman giving handshake'],['Free Stock Photo of Woman shaking hands | Download Free Images and Free  Illustrations']
https://freerangestock.com/sample/120369/handshake-between-two-people.jpg,[52],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/handshake/handshake4.jpeg,['handshake'],['Free Stock Photo of Handshake between two people | Download Free Images and  Free Illustrations']
https://freerangestock.com/sample/120432/a-business-team-giving-a-triple-fist-bump.jpg,[781],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/woman holding fist/womanholdingfist8.jpeg,['woman holding fist'],['Free Stock Photo of A business team giving a triple Fist Bump | Download  Free Images and Free Illustrations']
https://freerangestock.com/sample/121192/low-angle-view-looking-up-at-a-volunteer-group-thumbs-up.jpg,[753],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/woman giving thumbs down/womangivingthumbsdown8.jpeg,['woman giving thumbs down'],['Free Stock Photo of Low angle view looking up at a volunteer group thumbs up  | Download Free Images and Free Illustrations']
https://freerangestock.com/sample/123165/female-hand-with-wrist-watch-.jpg,[721],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/woman showing hand/womanshowinghand6.jpeg,['woman showing hand'],['Free Stock Photo of Female hand with wrist watch | Download Free Images and  Free Illustrations']
https://freerangestock.com/sample/123320/two-human-hands-.jpg,[8],/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/palms out/palmsout0.jpeg,['palms out'],['Free Stock Photo of Two Human Hands | Download Free Images and Free  Illustrations']
